Academic Year	UoS Code	Uos Name	Session	Delivery Mode	Campus
2019	ACCT1006	Accounting and Financial Management	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-15:30 [wks 1 to 13] @ Peter Nicol Russell | 
2019	ACCT1006	Accounting and Financial Management	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-15:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT2011	Financial Accounting A	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 15:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT2011	Financial Accounting A	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 14:00-16:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT2019	Management Accounting	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 11:00-12:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT2019	Management Accounting	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 11:00-12:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3011	Financial Accounting B	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 09:00-11:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3011	Financial Accounting B	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 10:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3013	Financial Statement Analysis	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 13:00-15:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3020	Advanced Issues in Management Accounting	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 16:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3031	International Corporate Governance	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 09:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3600	Accounting and Auditing in Practice	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 14:00-15:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT3600	Accounting and Auditing in Practice	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 11:00-12:30 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT5001	Accounting Principles	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 13:00-16:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT5001	Accounting Principles	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 13:00-16:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT5001	Accounting Principles	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 13:00-16:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT5001	Accounting Principles	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 13:00-16:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT5002	Managerial Accounting and Decision Making	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 10:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT5002	Managerial Accounting and Decision Making	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Wed 10:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT5002	Managerial Accounting and Decision Making	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 10:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT5002	Managerial Accounting and Decision Making	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Tue 10:00-13:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6001	Intermediate Financial Reporting	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6001	Intermediate Financial Reporting	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6001	Intermediate Financial Reporting	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT6001	Intermediate Financial Reporting	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT6002	International Accounting	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Tue 14:00-16:00 [wks 1 to 13] @ Quadrangle Building | 
2019	ACCT6002	International Accounting	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Tue 13:00-15:00 [wks 1 to 13] @ Institute | 
2019	ACCT6003	Fundamental Analysis for Equity Investment	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Wed 14:00-16:00 [wks 1 to 13] @ Eastern Avenue Complex | 
2019	ACCT6003	Fundamental Analysis for Equity Investment	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Fri 13:00-15:00 [wks 1 to 13] @ Carslaw | 
2019	ACCT6006	Advanced Managerial Accounting	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Tue 18:00-21:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6007	Contemporary Issues in Auditing	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6007	Contemporary Issues in Auditing	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 09:00-12:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6007	Contemporary Issues in Auditing	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 10:00-13:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT6007	Contemporary Issues in Auditing	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Mon 10:00-13:00 [wks 1 to 8, 10 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 1 (S1C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 2 (S2C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6010	Advanced Financial Reporting	Semester 2 (S2C)	NE - Normal Evening	CC - Camperdown/Darlington, Sydney	 Thu 14:00-17:00 [wks 1 to 13] @ Abercrombie Business School | 
2019	ACCT6014	Designing Accounting Systems	Semester 1 (S1C)	ND - Normal Daytime	CC - Camperdown/Darlington, Sydney	 Mon 16:00-18:00 [wks 1 to 13] @ Abercrombie Business School | 
